REF_DATE,prime_rate
1975-01-01,11
1975-01-08,11
1975-01-15,10.5
1975-01-22,10.5
1975-01-29,10.5
1975-02-05,9.5
1975-02-12,9.5
1975-02-19,9.5
1975-02-26,9.5
1975-03-05,9
1975-03-12,9
1975-03-19,9
1975-03-26,9
1975-04-02,9
1975-04-09,9
1975-04-16,9
1975-04-23,9
1975-04-30,9
1975-05-07,9
1975-05-14,9
1975-05-21,9
1975-05-28,9
1975-06-04,9
1975-06-11,9
1975-06-18,9
1975-06-25,9
1975-07-02,9
1975-07-09,9
1975-07-16,9
1975-07-23,9
1975-07-30,9
1975-08-06,9
1975-08-13,9
1975-08-20,9
1975-08-27,9
1975-09-03,9
1975-09-10,9.75
1975-09-17,9.75
1975-09-24,9.75
1975-10-01,9.75
1975-10-08,9.75
1975-10-15,9.75
1975-10-22,9.75
1975-10-29,9.75
1975-11-05,9.75
1975-11-12,9.75
1975-11-19,9.75
1975-11-26,9.75
1975-12-03,9.75
1975-12-10,9.75
1975-12-17,9.75
1975-12-24,9.75
1975-12-31,9.75
1976-01-07,9.75
1976-01-14,9.75
1976-01-21,9.75
1976-01-28,9.75
1976-02-04,9.75
1976-02-11,9.75
1976-02-18,9.75
1976-02-25,9.75
1976-03-03,9.75
1976-03-10,10.25
1976-03-17,10.25
1976-03-24,10.25
1976-03-31,10.25
1976-04-07,10.25
1976-04-14,10.25
1976-04-21,10.25
1976-04-28,10.25
1976-05-05,10.25
1976-05-12,10.25
1976-05-19,10.25
1976-05-26,10.25
1976-06-02,10.25
1976-06-09,10.25
1976-06-16,10.25
1976-06-23,10.25
1976-06-30,10.25
1976-07-07,10.25
1976-07-14,10.25
1976-07-21,10.25
1976-07-28,10.25
1976-08-04,10.25
1976-08-11,10.25
1976-08-18,10.25
1976-08-25,10.25
1976-09-01,10.25
1976-09-08,10.25
1976-09-15,10.25
1976-09-22,10.25
1976-09-29,10.25
1976-10-06,10.25
1976-10-13,10.25
1976-10-20,10.25
1976-10-27,10.25
1976-11-03,10.25
1976-11-10,10.25
1976-11-17,10.25
1976-11-24,9.75
1976-12-01,9.75
1976-12-08,9.75
1976-12-15,9.75
1976-12-22,9.75
1976-12-29,9.25
1977-01-05,9.25
1977-01-12,9.25
1977-01-19,9.25
1977-01-26,9.25
1977-02-02,8.75
1977-02-09,8.75
1977-02-16,8.75
1977-02-23,8.75
1977-03-02,8.75
1977-03-09,8.75
1977-03-16,8.75
1977-03-23,8.75
1977-03-30,8.75
1977-04-06,8.75
1977-04-13,8.75
1977-04-20,8.75
1977-04-27,8.75
1977-05-04,8.75
1977-05-11,8.75
1977-05-18,8.75
1977-05-25,8.75
1977-06-01,8.25
1977-06-08,8.25
1977-06-15,8.25
1977-06-22,8.25
1977-06-29,8.25
1977-07-06,8.25
1977-07-13,8.25
1977-07-20,8.25
1977-07-27,8.25
1977-08-03,8.25
1977-08-10,8.25
1977-08-17,8.25
1977-08-24,8.25
1977-08-31,8.25
1977-09-07,8.25
1977-09-14,8.25
1977-09-21,8.25
1977-09-28,8.25
1977-10-05,8.25
1977-10-12,8.25
1977-10-19,8.25
1977-10-26,8.25
1977-11-02,8.25
1977-11-09,8.25
1977-11-16,8.25
1977-11-23,8.25
1977-11-30,8.25
1977-12-07,8.25
1977-12-14,8.25
1977-12-21,8.25
1977-12-28,8.25
1978-01-04,8.25
1978-01-11,8.25
1978-01-18,8.25
1978-01-25,8.25
1978-02-01,8.25
1978-02-08,8.25
1978-02-15,8.25
1978-02-22,8.25
1978-03-01,8.25
1978-03-08,8.25
1978-03-15,8.75
1978-03-22,8.75
1978-03-29,8.75
1978-04-05,9.25
1978-04-12,9.25
1978-04-19,9.25
1978-04-26,9.25
1978-05-03,9.25
1978-05-10,9.25
1978-05-17,9.25
1978-05-24,9.25
1978-05-31,9.25
1978-06-07,9.25
1978-06-14,9.25
1978-06-21,9.25
1978-06-28,9.25
1978-07-05,9.25
1978-07-12,9.25
1978-07-19,9.25
1978-07-26,9.25
1978-08-02,9.75
1978-08-09,9.75
1978-08-16,9.75
1978-08-23,9.75
1978-08-30,9.75
1978-09-06,9.75
1978-09-13,9.75
1978-09-20,10.25
1978-09-27,10.25
1978-10-04,10.25
1978-10-11,10.25
1978-10-18,11
1978-10-25,11
1978-11-01,11
1978-11-08,11.5
1978-11-15,11.5
1978-11-22,11.5
1978-11-29,11.5
1978-12-06,11.5
1978-12-13,11.5
1978-12-20,11.5
1978-12-27,11.5
1979-01-03,11.5
1979-01-10,12
1979-01-17,12
1979-01-24,12
1979-01-31,12
1979-02-07,12
1979-02-14,12
1979-02-21,12
1979-02-28,12
1979-03-07,12
1979-03-14,12
1979-03-21,12
1979-03-28,12
1979-04-04,12
1979-04-11,12
1979-04-18,12
1979-04-25,12
1979-05-02,12
1979-05-09,12
1979-05-16,12
1979-05-23,12
1979-05-30,12
1979-06-06,12
1979-06-13,12
1979-06-20,12
1979-06-27,12
1979-07-04,12
1979-07-11,12
1979-07-18,12
1979-07-25,12.5
1979-08-01,12.5
1979-08-08,12.5
1979-08-15,12.5
1979-08-22,12.5
1979-08-29,12.5
1979-09-05,12.5
1979-09-12,13
1979-09-19,13
1979-09-26,13
1979-10-03,13
1979-10-10,13.75
1979-10-17,13.75
1979-10-24,13.75
1979-10-31,14.75
1979-11-07,15
1979-11-14,15
1979-11-21,15
1979-11-28,15
1979-12-05,15
1979-12-12,15
1979-12-19,15
1979-12-26,15
1980-01-02,15
1980-01-09,15
1980-01-16,15
1980-01-23,15
1980-01-30,15
1980-02-06,15
1980-02-13,15
1980-02-20,15
1980-02-27,15
1980-03-05,15
1980-03-12,15
1980-03-19,15.75
1980-03-26,15.75
1980-04-02,16.5
1980-04-09,17.5
1980-04-16,17.5
1980-04-23,17.25
1980-04-30,16.75
1980-05-07,16.5
1980-05-14,15.75
1980-05-21,14.75
1980-05-28,13.75
1980-06-04,13.75
1980-06-11,13.75
1980-06-18,13.75
1980-06-25,13.25
1980-07-02,13.25
1980-07-09,13.25
1980-07-16,13
1980-07-23,12.75
1980-07-30,12.25
1980-08-06,12.25
1980-08-13,12.25
1980-08-20,12.25
1980-08-27,12.25
1980-09-03,12.25
1980-09-10,12.25
1980-09-17,12.25
1980-09-24,12.25
1980-10-01,12.25
1980-10-08,13
